sample_id,source_split,label,filename,audio_status
train:12_0006.wav,train,Northern,12_0006.wav,not_selected_under_data_budget
train:12_0007.wav,train,Northern,12_0007.wav,not_selected_under_data_budget
train:12_0008.wav,train,Northern,12_0008.wav,not_selected_under_data_budget
train:12_0012.wav,train,Northern,12_0012.wav,not_selected_under_data_budget
train:12_0019.wav,train,Northern,12_0019.wav,not_selected_under_data_budget
train:12_0021.wav,train,Northern,12_0021.wav,not_selected_under_data_budget
train:12_0027.wav,train,Northern,12_0027.wav,not_selected_under_data_budget
train:12_0032.wav,train,Northern,12_0032.wav,not_selected_under_data_budget
train:12_0038.wav,train,Northern,12_0038.wav,not_selected_under_data_budget
train:12_0048.wav,train,Northern,12_0048.wav,not_selected_under_data_budget
train:12_0051.wav,train,Northern,12_0051.wav,not_selected_under_data_budget
train:12_0052.wav,train,Northern,12_0052.wav,not_selected_under_data_budget
train:12_0054.wav,train,Northern,12_0054.wav,not_selected_under_data_budget
train:12_0056.wav,train,Northern,12_0056.wav,not_selected_under_data_budget
train:12_0060.wav,train,Northern,12_0060.wav,not_selected_under_data_budget
train:12_0062.wav,train,Northern,12_0062.wav,not_selected_under_data_budget
train:12_0076.wav,train,Northern,12_0076.wav,not_selected_under_data_budget
train:12_0078.wav,train,Northern,12_0078.wav,not_selected_under_data_budget
train:12_0081.wav,train,Northern,12_0081.wav,not_selected_under_data_budget
train:12_0082.wav,train,Northern,12_0082.wav,not_selected_under_data_budget
train:12_0086.wav,train,Northern,12_0086.wav,not_selected_under_data_budget
train:12_0089.wav,train,Northern,12_0089.wav,not_selected_under_data_budget
train:12_0100.wav,train,Northern,12_0100.wav,not_selected_under_data_budget
train:12_0103.wav,train,Northern,12_0103.wav,not_selected_under_data_budget
train:12_0105.wav,train,Northern,12_0105.wav,not_selected_under_data_budget
train:12_0108.wav,train,Northern,12_0108.wav,not_selected_under_data_budget
train:12_0109.wav,train,Northern,12_0109.wav,not_selected_under_data_budget
train:12_0110.wav,train,Northern,12_0110.wav,not_selected_under_data_budget
train:12_0111.wav,train,Northern,12_0111.wav,not_selected_under_data_budget
train:12_0113.wav,train,Northern,12_0113.wav,not_selected_under_data_budget
train:12_0115.wav,train,Northern,12_0115.wav,not_selected_under_data_budget
train:12_0126.wav,train,Northern,12_0126.wav,not_selected_under_data_budget
train:12_0130.wav,train,Northern,12_0130.wav,not_selected_under_data_budget
train:12_0133.wav,train,Northern,12_0133.wav,not_selected_under_data_budget
train:12_0134.wav,train,Northern,12_0134.wav,not_selected_under_data_budget
train:12_0137.wav,train,Northern,12_0137.wav,not_selected_under_data_budget
train:12_0138.wav,train,Northern,12_0138.wav,not_selected_under_data_budget
train:12_0143.wav,train,Northern,12_0143.wav,not_selected_under_data_budget
train:12_0150.wav,train,Northern,12_0150.wav,not_selected_under_data_budget
train:12_0151.wav,train,Northern,12_0151.wav,not_selected_under_data_budget
train:18_0179.wav,train,Northern,18_0179.wav,not_selected_under_data_budget
train:18_0180.wav,train,Northern,18_0180.wav,not_selected_under_data_budget
train:18_0181.wav,train,Northern,18_0181.wav,not_selected_under_data_budget
train:18_0182.wav,train,Northern,18_0182.wav,not_selected_under_data_budget
train:18_0183.wav,train,Northern,18_0183.wav,not_selected_under_data_budget
train:18_0184.wav,train,Northern,18_0184.wav,not_selected_under_data_budget
