sample_id,source_split,source_region,label,province_code,province_name,filename,text,speaker_id,gender,source_audio_path,source_parquet_file,audio_path,audio_status,audio_bytes,preprocessed_audio_path,preprocessing_status,original_duration_seconds,preprocessed_sample_rate,preprocessed_samples,preprocessed_duration_seconds,preprocessed_rms,preprocessed_peak
train:17_0191.wav,train,North,Northern,17,ThaiBinh,17_0191.wav,"Đặc biệt là những bệnh nhân bị say rượu vào trong tình trạng lơ mơ, quấy phá, không thể giao tiếp với nhân viên y tế nó giảm đi rất nhiều, làm cho nhân viên y tế cũng như tất cả anh em trong bệnh viện, nhất là phòng ngoại chấn thương của chúng tôi cũng giảm bớt đi những áp lực.",spk_17_0173,male,17_0191.wav,train-00008-of-00103.parquet,data/processed/audio_16k/train/Northern/17_0191.wav,downloaded,572460,data/processed/audio_preprocessed_16s/train/Northern/17_0191.wav,preprocessed,17.888000,16000,256000,16.000000,0.079575,0.654999
train:59_0079.wav,train,South,Southern,59,HoChiMinh,59_0079.wav,"Chúng ta vừa phải thực hiện giãn cách, vừa phải nhanh nhất mang những cái gói hỗ trợ này đến cho người dân. Do đó là để tổ chức thực hiện thì là ở từng mỗi phường, xã, thị trấn phải tổ chức hết sức là khoa học, phải huy động tất cả các hệ thống chính trị cũng như là lực lượng tình nguyện viên và phải đảm bảo trong cái phòng chống dịch.",spk_59_0065,female,59_0079.wav,train-00044-of-00103.parquet,data/processed/audio_16k/train/Southern/59_0079.wav,downloaded,655100,data/processed/audio_preprocessed_16s/train/Southern/59_0079.wav,preprocessed,20.470500,16000,256000,16.000000,0.081261,0.738525
train:59_0080.wav,train,South,Southern,59,HoChiMinh,59_0080.wav,Tất cả đồ hộp thịt cá nói chung và pate nói riêng thì khi chúng ta dí tay xuống mà nó bật tay chúng ta lên có nghĩa rằng là có nguy cơ gây xác suất có thể là có nguy cơ gây ngộ độc thực phẩm do Crotri Botulinum.,spk_59_0066,male,59_0080.wav,train-00044-of-00103.parquet,data/processed/audio_16k/train/Southern/59_0080.wav,downloaded,388288,data/processed/audio_preprocessed_16s/train/Southern/59_0080.wav,preprocessed,12.132625,16000,256000,16.000000,0.059887,0.990021
train:59_0081.wav,train,South,Southern,59,HoChiMinh,59_0081.wav,"Từ khi cái máy này nè, lại đây là hướng dẫn rồi đó. Đọc chút xíu à, cứ đọc một câu là mình bấm bấm vô là xong rồi nộp hồ sơ. Bỏ thời gian đi ra chút xíu thôi, không tới năm phút nữa đó.",spk_59_0067,female,59_0081.wav,train-00044-of-00103.parquet,data/processed/audio_16k/train/Southern/59_0081.wav,downloaded,359136,data/processed/audio_preprocessed_16s/train/Southern/59_0081.wav,preprocessed,11.221625,16000,256000,16.000000,0.066986,0.629364
train:59_0084.wav,train,South,Southern,59,HoChiMinh,59_0084.wav,Việc ra đời cái định danh điện tử để phục vụ cho mục tiêu các hành chính của quận nó cũng góp phần giảm được tối đa lượng thời gian mà người dân và doanh nghiệp phải đến với các cơ quan công quyền. Thì bước định danh điện tử này đó là bước đầu cho một giai đoạn mới để hoàn thiện hơn nữa thủ tục hành chính công ở trên địa bàn quận một.,spk_59_0070,male,59_0084.wav,train-00044-of-00103.parquet,data/processed/audio_16k/train/Southern/59_0084.wav,downloaded,655108,data/processed/audio_preprocessed_16s/train/Southern/59_0084.wav,preprocessed,20.470750,16000,256000,16.000000,0.081146,0.955688
train:59_0085.wav,train,South,Southern,59,HoChiMinh,59_0085.wav,Khi nhận được lời kêu gọi hỗ trợ khẩn cấp cho người bà con có hoàn cảnh khó khăn thì tập đoàn City Group đã ngay lập tức trích quỹ. Do tập đoàn của chúng tôi khởi xướng và mua ngay một ngàn tấn gạo để kịp thời cứu và cứu trợ cho những bà con.,spk_59_0071,female,59_0085.wav,train-00044-of-00103.parquet,data/processed/audio_16k/train/Southern/59_0085.wav,downloaded,524088,data/processed/audio_preprocessed_16s/train/Southern/59_0085.wav,preprocessed,16.376375,16000,256000,16.000000,0.079359,0.558472
train:59_0087.wav,train,South,Southern,59,HoChiMinh,59_0087.wav,"Chúng ta tổ chức sàng lọc trước khi tiêm, theo dõi hai mươi bốn giờ sau khi tiêm. Và chúng ta bao giờ cũng xử lý nâng cao hơn một mức. Và vì vậy, trong thời gian qua chúng ta đã tiêm cho khoảng năm mươi ngàn người. Và cho đến thời điểm hiện nay là an toàn và không có bất cứ một trường hợp nào mà có những phản ứng nặng mà chúng ta không xử lý được.",spk_59_0073,male,59_0087.wav,train-00044-of-00103.parquet,data/processed/audio_16k/train/Southern/59_0087.wav,downloaded,550764,data/processed/audio_preprocessed_16s/train/Southern/59_0087.wav,preprocessed,17.210000,16000,256000,16.000000,0.080195,0.710968
train:59_0088.wav,train,South,Southern,59,HoChiMinh,59_0088.wav,"Ngày mùng bốn tháng năm thì họ đã có trên cái thông báo của Mỹ rồi. Họ cứ theo nguyên tắc là nộp trước thì được trước, sở các thứ. Chứ còn họ không quan tâm thì họ theo dõi trong ba mươi ngày. Nếu không có khiếu kiện gì, nếu không có làm gì thì họ cứ thế, họ công bố thôi. Mà đã công bố thì rất khó khăn.",spk_59_0074,male,59_0088.wav,train-00044-of-00103.parquet,data/processed/audio_16k/train/Southern/59_0088.wav,downloaded,582230,data/processed/audio_preprocessed_16s/train/Southern/59_0088.wav,preprocessed,18.193313,16000,256000,16.000000,0.078943,0.890289
train:59_0089.wav,train,South,Southern,59,HoChiMinh,59_0089.wav,"Nộp hồ sơ, chứng minh hàng hóa là của mình cũng như là giống lúa là của mình thì chúng ta phải đi kiểm tra gen cũng như DNA của một cái sản phẩm đó, tổng hợp tất cả hồ sơ lại mới là nộp lên hồ sơ cho cái đơn vị khiếu kiện. Và thời gian ít nhất là phải từ ba đến sáng tháng để chúng ta mới làm được hồ sơ này.",spk_59_0075,male,59_0089.wav,train-00044-of-00103.parquet,data/processed/audio_16k/train/Southern/59_0089.wav,downloaded,607728,data/processed/audio_preprocessed_16s/train/Southern/59_0089.wav,preprocessed,18.990125,16000,256000,16.000000,0.080239,0.610291
train:59_0090.wav,train,South,Southern,59,HoChiMinh,59_0090.wav,Chúng ta phân biệt ra làm hai loại. Một là sở hữu về giống và thứ hai là sở hữu về thương mại.,spk_59_0076,male,59_0090.wav,train-00044-of-00103.parquet,data/processed/audio_16k/train/Southern/59_0090.wav,downloaded,213432,data/processed/audio_preprocessed_16s/train/Southern/59_0090.wav,preprocessed,6.668375,16000,256000,16.000000,0.051638,0.569061
