sample_id,source_split,label,province_name,speaker_id,gender,audio_path,sample_rate,duration_seconds,rms,peak,zcr,logmel_mean,logmel_std,spectral_centroid_mean,spectral_centroid_std,spectral_bandwidth_mean,spectral_bandwidth_std,spectral_flatness_mean,mfcc_1_mean,mfcc_2_mean,mfcc_3_mean,mfcc_4_mean,mfcc_5_mean,mfcc_6_mean,mfcc_7_mean,mfcc_8_mean,mfcc_9_mean,mfcc_10_mean,mfcc_11_mean,mfcc_12_mean,mfcc_13_mean,mfcc_1_std,mfcc_2_std,mfcc_3_std,mfcc_4_std,mfcc_5_std,mfcc_6_std,mfcc_7_std,mfcc_8_std,mfcc_9_std,mfcc_10_std,mfcc_11_std,mfcc_12_std,mfcc_13_std
train:98_0204.wav,train,Northern,BacGiang,spk_98_0162,male,data/processed/audio_preprocessed_16s/train/Northern/98_0204.wav,16000,16.0,0.07583926739020255,0.510101318359375,0.06931277075301076,-10.505537033081055,3.826920509338379,450.60720222745425,384.5445065820088,463.28362646083605,361.2514019314793,0.011141672057597111,-65.31879425048828,19.50118637084961,0.8362502455711365,5.382192611694336,-2.7953522205352783,-1.0462982654571533,-1.1852251291275024,0.14845305681228638,-0.2148778885602951,-0.8971584439277649,-0.1799437254667282,-1.2161458730697632,-0.30054154992103577,8.802229881286621,4.3993330001831055,3.403456926345825,3.474602699279785,2.2430522441864014,2.432499408721924,1.5864561796188354,1.4698495864868164,1.4023593664169312,1.5457866191864014,1.5130420923233032,1.2674800157546997,1.284372329711914
valid:26_0263.wav,valid,Northern,SonLa,spk_26_0215,male,data/processed/audio_preprocessed_16s/valid/Northern/26_0263.wav,16000,16.0,0.08062266361786258,0.87860107421875,0.05855882249540037,-11.747386932373047,4.2814555168151855,411.8604813689388,295.19276440015614,365.026923192666,323.28671374258215,0.008950176389374308,-73.2385025024414,20.642417907714844,2.1573472023010254,3.506275177001953,-1.1083157062530518,-2.8348910808563232,-1.018876075744629,-0.3518803119659424,-1.1959809064865112,-0.4295583665370941,-0.7595840692520142,0.16299493610858917,-0.7286502122879028,13.091797828674316,5.472583293914795,3.9823436737060547,3.5714869499206543,2.906458616256714,2.7973296642303467,1.7863928079605103,1.9076389074325562,1.8030712604522705,1.4624574184417725,1.3618640899658203,1.1934741735458374,1.416662335395813
train:11_0127.wav,train,Northern,CaoBang,spk_11_0084,male,data/processed/audio_preprocessed_16s/train/Northern/11_0127.wav,16000,16.0,0.02865876258257854,0.989990234375,0.04960956878737808,-15.344158172607422,5.899930477142334,316.0138773370149,323.6913007934085,314.7642679187656,344.94272620882055,0.3224297325579233,-96.41445922851562,12.650537490844727,1.2895089387893677,0.5100913047790527,-0.6531731486320496,-0.42019718885421753,-1.1612235307693481,-0.6097248196601868,-0.8134936690330505,-0.09425037354230881,-0.20486608147621155,-0.4824434816837311,-0.38862860202789307,33.85460662841797,8.982512474060059,2.3571970462799072,1.7249575853347778,1.2669481039047241,1.2508922815322876,1.326622486114502,1.2136658430099487,1.0209659337997437,0.9505646824836731,0.9313100576400757,0.9407958984375,0.7977957725524902
train:99_0108.wav,train,Northern,BacNinh,spk_99_0071,male,data/processed/audio_preprocessed_16s/train/Northern/99_0108.wav,16000,16.0,0.07801707213065405,0.493927001953125,0.07546904480095626,-11.045801162719727,3.9575719833374023,512.231992213045,327.12383218362106,463.8324391691613,349.0819754242742,0.010388112943915229,-68.61024475097656,18.51071548461914,0.6907222867012024,3.1272988319396973,-3.66568922996521,-2.2964487075805664,-0.5354535579681396,-0.6887805461883545,-0.5242498517036438,-0.08811081200838089,0.43352383375167847,-0.05632565915584564,-1.4779680967330933,12.198929786682129,4.170819282531738,3.4428136348724365,3.1167709827423096,3.19368052482605,2.908987045288086,2.0834596157073975,1.7833462953567505,1.7117786407470703,1.6654208898544312,1.4649133682250977,1.3647040128707886,1.7020856142044067
train:11_0072.wav,train,Northern,CaoBang,spk_11_0047,female,data/processed/audio_preprocessed_16s/train/Northern/11_0072.wav,16000,16.0,0.07965069512450183,0.799468994140625,0.08945347442763449,-9.788314819335938,3.3688457012176514,593.556996370725,542.7157144567419,562.8794425342545,423.92649949382286,0.026236319116616846,-60.830509185791016,16.276493072509766,1.2434002161026,0.0642787367105484,-1.9105732440948486,-0.3551197946071625,-0.3621330261230469,-0.33865222334861755,-0.3250128924846649,0.2884126901626587,-0.531140923500061,-0.9988597631454468,0.1784917563199997,10.831381797790527,3.8703715801239014,2.415942430496216,2.8062186241149902,2.032897710800171,2.514359712600708,1.2119659185409546,1.5275474786758423,1.3148924112319946,1.0600497722625732,1.3959020376205444,1.2079172134399414,1.0257232189178467
train:17_0045.wav,train,Northern,ThaiBinh,spk_17_0042,male,data/processed/audio_preprocessed_16s/train/Northern/17_0045.wav,16000,16.0,0.07480256454406684,0.623046875,0.09375817874288571,-12.810721397399902,4.938257694244385,630.7952839635739,524.3425591071615,505.4814504730481,477.22947951926506,0.15096485368232335,-79.80791473388672,12.675642967224121,0.24827346205711365,-1.9350944757461548,-5.149322509765625,-2.1676247119903564,-2.0325374603271484,-1.6959296464920044,-1.4128758907318115,-0.7334684133529663,-1.178199052810669,-0.7279316782951355,-1.0607448816299438,26.03606414794922,6.808501243591309,2.8167710304260254,2.8172590732574463,3.072293996810913,1.9744477272033691,1.7994120121002197,1.565914273262024,1.4201269149780273,1.2503578662872314,1.164093255996704,1.1525959968566895,1.383656620979309
train:11_0083.wav,train,Northern,CaoBang,spk_11_0056,male,data/processed/audio_preprocessed_16s/train/Northern/11_0083.wav,16000,16.0,0.08259420773726377,0.643798828125,0.15118418431321998,-10.654143333435059,3.648115634918213,1006.9697484912447,469.00740410263955,820.1608930754758,302.8090927384411,0.012268172184412635,-65.87285614013672,14.760673522949219,-5.095090866088867,5.2426557540893555,-3.4218783378601074,-3.1391022205352783,-0.8145582675933838,0.22105157375335693,-1.5697468519210815,1.3874667882919312,-0.3642745316028595,0.809333324432373,-0.9691603183746338,11.084670066833496,3.2898237705230713,4.372632026672363,3.5062506198883057,2.0815203189849854,2.8193161487579346,1.8844633102416992,1.800490379333496,1.6041500568389893,1.3739055395126343,1.6578751802444458,1.457411766052246,1.4345312118530273
train:34_0085.wav,train,Northern,HaiDuong,spk_34_0052,male,data/processed/audio_preprocessed_16s/train/Northern/34_0085.wav,16000,16.0,0.07187981793422595,0.8255615234375,0.09185192129656757,-10.487030029296875,3.8358709812164307,669.7859811077402,669.3140355629041,611.2053307990006,440.3036076454415,0.0180297414666958,-65.15480041503906,17.398466110229492,-1.8466622829437256,5.085817813873291,-2.371697187423706,-0.7711470723152161,-0.5936380624771118,0.937509298324585,0.2247961312532425,-0.7114225029945374,0.16479894518852234,-1.2359427213668823,-0.7678535580635071,11.22133731842041,5.848728656768799,4.748030662536621,3.1245245933532715,3.211819648742676,2.5856196880340576,1.7860848903656006,1.8647119998931885,1.764389991760254,1.453620195388794,1.620044231414795,1.5547780990600586,1.448817491531372
train:21_0007.wav,train,Northern,YenBai,spk_21_0003,male,data/processed/audio_preprocessed_16s/train/Northern/21_0007.wav,16000,16.0,0.07789800098170163,0.506317138671875,0.06662526025492287,-12.066230773925781,4.88726806640625,462.5982079436154,252.4756584413196,370.7237006381027,243.33444157147045,0.05538115750326834,-75.0174560546875,17.642677307128906,-1.001524567604065,1.6033331155776978,-4.104556083679199,-1.9192135334014893,-2.5464284420013428,-0.8011018633842468,0.652207612991333,-0.4309943914413452,-1.4523253440856934,0.934988796710968,-0.9231237173080444,22.487510681152344,5.63933801651001,3.5834426879882812,3.0990474224090576,2.3441550731658936,2.222003936767578,2.1128807067871094,1.935249924659729,1.730259895324707,1.6702316999435425,1.686690330505371,1.579757809638977,1.5186200141906738
train:26_0238.wav,train,Northern,SonLa,spk_26_0196,male,data/processed/audio_preprocessed_16s/train/Northern/26_0238.wav,16000,16.0,0.07531683986137634,0.88739013671875,0.08446517369208474,-10.480025291442871,3.3383915424346924,543.012013106053,447.7443090947128,562.0962894774074,394.6028967626184,0.02718447969294716,-65.38777923583984,17.089698791503906,2.0788767337799072,2.0227534770965576,-1.152592420578003,-0.8120769262313843,-0.45378053188323975,-0.6670357584953308,-0.30135998129844666,-0.2010507434606552,0.9361332058906555,-0.04848090559244156,-0.32001227140426636,8.224782943725586,4.753331661224365,2.689473867416382,2.9376373291015625,1.7105889320373535,2.523676633834839,1.395518183708191,1.3798480033874512,1.4694100618362427,1.333497166633606,1.151733160018921,1.1757615804672241,1.095813512802124
